,nodes
9606.ENSP00000232003,537
9606.ENSP00000259241,538
9606.ENSP00000225929,539
9606.ENSP00000168216,540
9606.ENSP00000360609,541
9606.ENSP00000364802,542
9606.ENSP00000437125,543
9606.ENSP00000248553,544
9606.ENSP00000340019,545
9606.ENSP00000258080,546
9606.ENSP00000226284,547
9606.ENSP00000264832,548
9606.ENSP00000415283,549
9606.ENSP00000160262,550
9606.ENSP00000221980,551
9606.ENSP00000319476,552
9606.ENSP00000339477,553
9606.ENSP00000265986,554
9606.ENSP00000339801,555
9606.ENSP00000247933,556
9606.ENSP00000369566,557
9606.ENSP00000369554,558
9606.ENSP00000239347,559
9606.ENSP00000270139,560
9606.ENSP00000369581,561
9606.ENSP00000229135,562
9606.ENSP00000356713,563
9606.ENSP00000371425,564
9606.ENSP00000329991,565
9606.ENSP00000333639,566
9606.ENSP00000376637,567
9606.ENSP00000497069,568
9606.ENSP00000349437,569
9606.ENSP00000275525,570
9606.ENSP00000233809,571
9606.ENSP00000370473,572
9606.ENSP00000269593,573
9606.ENSP00000233813,574
9606.ENSP00000301464,575
9606.ENSP00000295666,576
9606.ENSP00000412237,577
9606.ENSP00000227752,578
9606.ENSP00000290200,579
9606.ENSP00000264563,580
9606.ENSP00000470788,581
9606.ENSP00000262345,582
9606.ENSP00000304915,583
9606.ENSP00000360730,584
9606.ENSP00000380421,585
9606.ENSP00000302935,586
9606.ENSP00000497968,587
9606.ENSP00000261796,588
9606.ENSP00000302924,589
9606.ENSP00000337432,590
9606.ENSP00000320936,591
9606.ENSP00000288167,592
9606.ENSP00000295981,593
9606.ENSP00000296318,594
9606.ENSP00000434717,595
9606.ENSP00000387211,596
9606.ENSP00000264260,597
9606.ENSP00000499459,598
9606.ENSP00000263339,599
9606.ENSP00000263341,600
9606.ENSP00000386380,601
9606.ENSP00000330959,602
9606.ENSP00000314807,603
9606.ENSP00000361663,604
9606.ENSP00000233954,605
9606.ENSP00000264257,606
9606.ENSP00000259206,607
9606.ENSP00000226730,608
9606.ENSP00000356065,609
9606.ENSP00000314976,610
9606.ENSP00000442424,611
9606.ENSP00000270800,612
9606.ENSP00000296980,613
9606.ENSP00000321345,614
9606.ENSP00000375795,615
9606.ENSP00000328111,616
9606.ENSP00000263379,617
9606.ENSP00000369293,618
9606.ENSP00000363318,619
9606.ENSP00000296870,620
9606.ENSP00000397863,621
9606.ENSP00000259211,622
9606.ENSP00000259213,623
9606.ENSP00000263326,624
9606.ENSP00000327890,625
9606.ENSP00000231449,626
9606.ENSP00000379111,627
9606.ENSP00000231454,628
9606.ENSP00000412209,629
9606.ENSP00000385675,630
9606.ENSP00000357470,631
9606.ENSP00000370698,632
9606.ENSP00000263851,633
9606.ENSP00000306157,634
9606.ENSP00000274520,635
9606.ENSP00000345096,636
9606.ENSP00000321584,637
9606.ENSP00000364929,638
9606.ENSP00000242208,639
9606.ENSP00000380432,640
9606.ENSP00000303830,641
9606.ENSP00000245414,642
9606.ENSP00000496832,643
9606.ENSP00000355402,644
9606.ENSP00000266041,645
9606.ENSP00000254958,646
9606.ENSP00000328169,647
9606.ENSP00000371067,648
9606.ENSP00000383376,649
9606.ENSP00000299106,650
9606.ENSP00000348635,651
9606.ENSP00000360266,652
9606.ENSP00000265713,653
9606.ENSP00000263923,654
9606.ENSP00000377245,655
9606.ENSP00000260363,656
9606.ENSP00000339634,657
9606.ENSP00000325525,658
9606.ENSP00000435466,659
9606.ENSP00000288135,660
9606.ENSP00000473047,661
9606.ENSP00000250351,662
9606.ENSP00000470555,663
9606.ENSP00000375678,664
9606.ENSP00000314151,665
9606.ENSP00000326159,666
9606.ENSP00000337733,667
9606.ENSP00000366047,668
9606.ENSP00000470538,669
9606.ENSP00000375682,670
9606.ENSP00000264690,671
9606.ENSP00000483713,672
9606.ENSP00000240618,673
9606.ENSP00000493985,674
9606.ENSP00000438483,675
9606.ENSP00000290158,676
9606.ENSP00000256078,677
9606.ENSP00000304422,678
9606.ENSP00000373489,679
9606.ENSP00000264170,680
9606.ENSP00000359077,681
9606.ENSP00000203629,682
9606.ENSP00000364765,683
9606.ENSP00000217407,684
9606.ENSP00000477713,685
9606.ENSP00000362108,686
9606.ENSP00000371661,687
9606.ENSP00000454071,688
9606.ENSP00000312652,689
9606.ENSP00000330393,690
9606.ENSP00000215886,691
9606.ENSP00000254301,692
9606.ENSP00000262776,693
9606.ENSP00000302100,694
9606.ENSP00000367891,695
9606.ENSP00000435460,696
9606.ENSP00000378856,697
9606.ENSP00000376911,698
9606.ENSP00000398368,699
9606.ENSP00000315997,700
9606.ENSP00000375629,701
9606.ENSP00000221459,702
9606.ENSP00000303366,703
9606.ENSP00000261366,704
9606.ENSP00000262290,705
9606.ENSP00000326759,706
9606.ENSP00000243077,707
9606.ENSP00000374135,708
9606.ENSP00000303634,709
9606.ENSP00000497444,710
9606.ENSP00000298910,711
9606.ENSP00000295057,712
9606.ENSP00000355187,713
9606.ENSP00000419000,714
9606.ENSP00000403495,715
9606.ENSP00000228740,716
9606.ENSP00000311905,717
9606.ENSP00000228918,718
9606.ENSP00000231751,719
9606.ENSP00000266718,720
9606.ENSP00000369286,721
9606.ENSP00000263285,722
9606.ENSP00000428924,723
9606.ENSP00000244333,724
9606.ENSP00000256178,725
9606.ENSP00000261267,726
9606.ENSP00000302486,727
9606.ENSP00000262948,728
9606.ENSP00000345083,729
9606.ENSP00000410402,730
9606.ENSP00000215832,731
9606.ENSP00000333685,732
9606.ENSP00000215659,733
9606.ENSP00000211287,734
9606.ENSP00000229795,735
9606.ENSP00000263025,736
9606.ENSP00000378974,737
9606.ENSP00000394560,738
9606.ENSP00000356070,739
9606.ENSP00000396467,740
9606.ENSP00000449381,741
9606.ENSP00000340820,742
9606.ENSP00000296280,743
9606.ENSP00000378485,744
9606.ENSP00000254898,745
9606.ENSP00000383894,746
9606.ENSP00000352835,747
9606.ENSP00000249910,748
9606.ENSP00000363079,749
9606.ENSP00000358022,750
9606.ENSP00000385451,751
9606.ENSP00000258149,752
9606.ENSP00000300651,753
9606.ENSP00000378534,754
9606.ENSP00000317272,755
9606.ENSP00000296411,756
9606.ENSP00000325312,757
9606.ENSP00000268150,758
9606.ENSP00000470129,759
9606.ENSP00000413079,760
9606.ENSP00000252229,761
9606.ENSP00000215754,762
9606.ENSP00000367668,763
9606.ENSP00000322788,764
9606.ENSP00000279441,765
9606.ENSP00000458585,766
9606.ENSP00000260302,767
9606.ENSP00000308208,768
9606.ENSP00000286614,769
9606.ENSP00000353767,770
9606.ENSP00000219070,771
9606.ENSP00000299855,772
9606.ENSP00000260227,773
9606.ENSP00000236826,774
9606.ENSP00000361405,775
9606.ENSP00000361548,776
9606.ENSP00000225275,777
9606.ENSP00000455897,778
9606.ENSP00000307513,779
9606.ENSP00000372313,780
9606.ENSP00000353408,781
9606.ENSP00000405453,782
9606.ENSP00000414287,783
9606.ENSP00000296474,784
9606.ENSP00000260950,785
9606.ENSP00000484824,786
9606.ENSP00000400908,787
9606.ENSP00000478887,788
9606.ENSP00000303584,789
9606.ENSP00000286733,790
9606.ENSP00000448035,791
9606.ENSP00000477639,792
9606.ENSP00000222553,793
9606.ENSP00000229307,794
9606.ENSP00000263354,795
9606.ENSP00000289749,796
9606.ENSP00000480132,797
9606.ENSP00000417273,798
9606.ENSP00000291890,799
9606.ENSP00000362181,800
9606.ENSP00000342156,801
9606.ENSP00000350364,802
9606.ENSP00000358525,803
9606.ENSP00000264187,804
9606.ENSP00000216286,805
9606.ENSP00000370483,806
9606.ENSP00000337060,807
9606.ENSP00000376886,808
9606.ENSP00000468424,809
9606.ENSP00000328181,810
9606.ENSP00000498587,811
9606.ENSP00000256646,812
9606.ENSP00000263388,813
9606.ENSP00000365663,814
9606.ENSP00000365651,815
9606.ENSP00000246672,816
9606.ENSP00000231509,817
9606.ENSP00000368314,818
9606.ENSP00000287842,819
9606.ENSP00000378367,820
9606.ENSP00000265371,821
9606.ENSP00000385142,822
9606.ENSP00000489551,823
9606.ENSP00000418529,824
9606.ENSP00000397297,825
9606.ENSP00000469455,826
9606.ENSP00000173229,827
9606.ENSP00000340998,828
9606.ENSP00000431418,829
9606.ENSP00000277120,830
9606.ENSP00000354207,831
9606.ENSP00000347626,832
9606.ENSP00000384551,833
9606.ENSP00000388001,834
9606.ENSP00000370882,835
9606.ENSP00000219022,836
9606.ENSP00000309124,837
9606.ENSP00000364700,838
9606.ENSP00000330862,839
9606.ENSP00000215781,840
9606.ENSP00000327801,841
9606.ENSP00000302886,842
9606.ENSP00000435289,843
9606.ENSP00000353864,844
9606.ENSP00000367686,845
9606.ENSP00000453858,846
9606.ENSP00000330658,847
9606.ENSP00000340278,848
9606.ENSP00000368458,849
9606.ENSP00000325917,850
9606.ENSP00000303208,851
9606.ENSP00000380855,852
9606.ENSP00000286063,853
9606.ENSP00000410309,854
9606.ENSP00000334910,855
9606.ENSP00000351957,856
9606.ENSP00000345502,857
9606.ENSP00000347046,858
9606.ENSP00000385632,859
9606.ENSP00000291539,860
9606.ENSP00000346508,861
9606.ENSP00000330382,862
9606.ENSP00000422464,863
9606.ENSP00000257290,864
9606.ENSP00000261799,865
9606.ENSP00000300289,866
9606.ENSP00000376352,867
9606.ENSP00000344220,868
9606.ENSP00000291565,869
9606.ENSP00000215904,870
9606.ENSP00000261313,871
9606.ENSP00000457421,872
9606.ENSP00000346725,873
9606.ENSP00000391601,874
9606.ENSP00000296029,875
9606.ENSP00000447942,876
9606.ENSP00000359991,877
9606.ENSP00000270776,878
9606.ENSP00000451040,879
9606.ENSP00000362413,880
9606.ENSP00000008938,881
9606.ENSP00000360124,882
9606.ENSP00000243924,883
9606.ENSP00000442157,884
9606.ENSP00000262971,885
9606.ENSP00000348888,886
9606.ENSP00000419260,887
9606.ENSP00000362608,888
9606.ENSP00000320171,889
9606.ENSP00000393847,890
9606.ENSP00000312286,891
9606.ENSP00000383364,892
9606.ENSP00000364257,893
9606.ENSP00000364249,894
9606.ENSP00000274793,895
9606.ENSP00000220809,896
9606.ENSP00000361850,897
9606.ENSP00000339328,898
9606.ENSP00000244007,899
9606.ENSP00000308938,900
9606.ENSP00000300093,901
9606.ENSP00000352288,902
9606.ENSP00000258526,903
9606.ENSP00000384092,904
9606.ENSP00000222381,905
9606.ENSP00000419970,906
9606.ENSP00000369071,907
9606.ENSP00000362329,908
9606.ENSP00000296028,909
9606.ENSP00000419425,910
9606.ENSP00000300026,911
9606.ENSP00000303754,912
9606.ENSP00000361918,913
9606.ENSP00000225174,914
9606.ENSP00000234310,915
9606.ENSP00000466009,916
9606.ENSP00000262746,917
9606.ENSP00000265462,918
9606.ENSP00000342026,919
9606.ENSP00000309591,920
9606.ENSP00000408695,921
9606.ENSP00000496129,922
9606.ENSP00000331602,923
9606.ENSP00000263431,924
9606.ENSP00000295797,925
9606.ENSP00000263125,926
9606.ENSP00000367830,927
9606.ENSP00000302150,928
9606.ENSP00000482954,929
9606.ENSP00000234071,930
9606.ENSP00000271331,931
9606.ENSP00000377783,932
9606.ENSP00000308720,933
9606.ENSP00000488437,934
9606.ENSP00000161006,935
9606.ENSP00000306390,936
9606.ENSP00000354280,937
9606.ENSP00000234347,938
9606.ENSP00000414359,939
9606.ENSP00000223321,940
9606.ENSP00000261479,941
9606.ENSP00000219313,942
9606.ENSP00000372155,943
9606.ENSP00000293362,944
9606.ENSP00000245810,945
9606.ENSP00000361021,946
9606.ENSP00000356438,947
9606.ENSP00000433208,948
9606.ENSP00000441765,949
9606.ENSP00000341189,950
9606.ENSP00000442460,951
9606.ENSP00000341170,952
9606.ENSP00000360683,953
9606.ENSP00000489597,954
9606.ENSP00000311857,955
9606.ENSP00000391592,956
9606.ENSP00000353198,957
9606.ENSP00000348461,958
9606.ENSP00000304283,959
9606.ENSP00000493712,960
9606.ENSP00000446215,961
9606.ENSP00000418009,962
9606.ENSP00000274376,963
9606.ENSP00000267163,964
9606.ENSP00000253363,965
9606.ENSP00000360522,966
9606.ENSP00000233735,967
9606.ENSP00000346158,968
9606.ENSP00000064780,969
9606.ENSP00000272190,970
9606.ENSP00000347942,971
9606.ENSP00000221515,972
9606.ENSP00000452126,973
9606.ENSP00000308219,974
9606.ENSP00000313350,975
9606.ENSP00000463069,976
9606.ENSP00000417335,977
9606.ENSP00000380903,978
9606.ENSP00000360120,979
9606.ENSP00000272317,980
9606.ENSP00000278572,981
9606.ENSP00000346050,982
9606.ENSP00000368884,983
9606.ENSP00000479667,984
9606.ENSP00000495273,985
9606.ENSP00000389351,986
9606.ENSP00000276659,987
9606.ENSP00000349131,988
9606.ENSP00000217260,989
9606.ENSP00000043402,990
9606.ENSP00000405841,991
9606.ENSP00000357726,992
9606.ENSP00000357704,993
9606.ENSP00000357709,994
9606.ENSP00000357711,995
9606.ENSP00000357727,996
9606.ENSP00000384906,997
